iter	Passed	Remaining
406	6531	9516
407	6539	9489
408	6548	9462
409	6575	9461
410	6590	9444
411	6602	9422
412	6611	9397
413	6620	9370
414	6651	9375
415	6666	9359
416	6677	9335
417	6685	9308
418	6710	9305
419	6730	9294
420	6742	9272
421	6752	9248
422	6762	9224
423	6791	9226
424	6807	9210
425	6818	9187
426	6828	9163
427	6849	9153
428	6870	9143
429	6884	9126
430	6894	9101
431	6902	9075
432	6931	9076
433	6946	9059
434	6959	9038
435	6968	9014
436	6976	8988
437	7007	8990
438	7020	8971
439	7031	8948
440	7040	8924
441	7059	8912
442	7080	8902
443	7093	8882
444	7103	8859
445	7112	8834
446	7138	8831
447	7157	8818
448	7168	8797
449	7178	8773
450	7186	8748
451	7216	8749
452	7232	8733
453	7243	8711
454	7253	8688
455	7272	8676
456	7294	8666
457	7306	8647
458	7317	8624
459	7326	8600
460	7350	8594
461	7368	8580
462	7379	8559
463	7389	8536
464	7397	8511
465	7424	8507
466	7441	8493
467	7453	8472
468	7462	8448
469	7470	8424
470	7499	8422
471	7513	8404
472	7523	8382
473	7533	8359
474	7565	8362
475	7578	8343
476	7589	8321
477	7599	8298
478	7623	8291
479	7641	8277
480	7654	8259
481	7664	8237
482	7672	8212
483	7702	8211
484	7717	8195
485	7729	8174
486	7737	8150
487	7746	8127
488	7777	8127
489	7792	8110
490	7803	8089
491	7813	8067
492	7837	8060
493	7855	8045
494	7867	8026
495	7877	8004
496	7886	7981
497	7916	7980
498	7932	7963
499	7942	7942
500	7951	7919
501	7969	7906
502	7997	7901
503	8010	7883
504	8019	7860
505	8029	7838
506	8057	7834
507	8072	7818
508	8084	7798
509	8093	7776
510	8111	7761
511	8133	7752
512	8148	7735
513	8173	7728
514	8192	7715
515	8206	7697
516	8215	7675
517	8224	7652
518	8257	7652
519	8270	7634
520	8280	7613
521	8290	7591
522	8311	7580
523	8332	7568
524	8345	7550
525	8355	7529
526	8363	7506
527	8395	7504
528	8411	7488
529	8422	7469
530	8431	7446
531	8454	7437
532	8474	7424
533	8486	7405
534	8496	7384
535	8504	7362
536	8531	7355
537	8548	7341
538	8559	7321
539	8569	7299
540	8576	7276
541	8605	7271
542	8619	7254
543	8631	7235
544	8640	7213
545	8649	7191
546	8678	7187
547	8693	7170
548	8703	7150
549	8713	7129
550	8722	7108
551	8751	7102
552	8765	7085
553	8775	7064
554	8783	7042
555	8799	7027
556	8823	7017
557	8836	6999
558	8846	6979
559	8854	6957
560	8875	6945
561	8895	6932
562	8907	6914
563	8918	6894
564	8927	6873
565	8952	6864
566	8971	6850
567	8982	6831
568	8992	6811
569	8999	6789
570	9028	6783
571	9045	6768
572	9056	6749
573	9067	6729
574	9094	6722
575	9114	6709
576	9127	6691
577	9137	6671
578	9146	6650
579	9176	6645
580	9193	6630
581	9204	6610
582	9214	6590
583	9243	6584
584	9259	6568
585	9271	6549
586	9279	6528
587	9297	6514
588	9321	6504
589	9335	6487
590	9344	6466
591	9354	6446
592	9383	6439
593	9402	6426
594	9413	6407
595	9422	6387
596	9430	6366
597	9457	6357
598	9473	6342
599	9484	6323
600	9493	6302
601	9502	6282
602	9528	6273
603	9542	6256
604	9553	6237
605	9562	6217
606	9583	6204
607	9605	6193
608	9620	6176
609	9631	6157
610	9639	6137
611	9671	6131
612	9686	6114
613	9697	6096
614	9705	6076
615	9728	6064
616	9749	6051
617	9762	6034
618	9771	6014
619	9780	5994
620	9810	5987
621	9826	5971
622	9836	5952
623	9846	5933
624	9866	5919
625	9888	5907
626	9902	5890
627	9914	5872
628	9923	5853
629	9953	5845
630	9968	5829
631	9979	5810
632	9988	5790
633	10012	5780
634	10033	5767
635	10045	5749
636	10055	5730
637	10066	5711
638	10095	5703
639	10110	5686
640	10121	5668
641	10130	5648
642	10146	5633
643	10171	5622
644	10186	5606
645	10196	5587
646	10206	5568
647	10236	5560
648	10250	5543
649	10261	5525
650	10271	5506
651	10293	5494
652	10313	5480
653	10325	5462
654	10352	5452
655	10369	5437
656	10382	5420
657	10391	5400
658	10399	5381
659	10428	5372
660	10442	5355
661	10455	5338
662	10464	5319
663	10472	5299
664	10503	5291
665	10517	5274
666	10528	5256
667	10537	5237
668	10557	5223
669	10577	5209
670	10591	5193
671	10601	5174
672	10609	5155
673	10618	5135
674	10643	5124
675	10662	5110
676	10674	5092
677	10685	5074
678	10693	5055
679	10719	5044
680	10734	5028
681	10745	5010
682	10754	4991
683	10763	4972
684	10794	4963
685	10808	4947
686	10819	4929
687	10828	4910
688	10845	4895
689	10870	4883
690	10882	4866
691	10893	4848
692	10902	4829
693	10930	4819
694	10945	4803
695	10958	4786
696	10967	4767
697	10975	4748
698	11004	4738
699	11021	4723
700	11031	4705
701	11040	4686
702	11050	4668
703	11082	4659
704	11095	4642
705	11105	4624
706	11114	4605
707	11141	4595
708	11160	4580
709	11171	4563
710	11180	4544
711	11196	4529
712	11221	4516
713	11235	4500
714	11244	4481
715	11252	4463
716	11270	4448
717	11298	4437
718	11310	4420
719	11320	4402
720	11328	4383
721	11356	4372
722	11371	4356
723	11381	4338
724	11390	4320
725	11399	4302
726	11428	4291
727	11444	4275
728	11455	4258
729	11464	4240
730	11475	4222
731	11503	4211
732	11517	4195
733	11527	4177
734	11535	4159
735	11559	4146
736	11578	4131
737	11590	4114
738	11599	4096
739	11607	4078
740	11635	4066
741	11649	4050
742	11659	4033
743	11667	4014
744	11688	4000
745	11711	3987
746	11723	3970
747	11732	3952
748	11741	3934
749	11769	3923
750	11785	3907
751	11797	3890
752	11806	3872
753	11813	3854
754	11844	3843
755	11860	3827
756	11870	3810
757	11879	3792
758	11894	3776
759	11919	3764
760	11932	3747
761	11943	3730
762	11951	3712
763	11975	3699
764	11993	3684
765	12006	3667
766	12015	3650
767	12023	3632
768	12046	3618
769	12064	3603
770	12076	3586
771	12086	3569
772	12094	3551
773	12118	3538
774	12135	3523
775	12147	3506
776	12159	3489
777	12167	3472
778	12194	3459
779	12210	3443
780	12221	3427
781	12230	3409
782	12238	3391
783	12268	3380
784	12283	3364
785	12294	3347
786	12303	3329
787	12311	3312
788	12340	3300
789	12354	3284
790	12365	3267
791	12373	3249
792	12382	3232
793	12412	3220
794	12426	3204
795	12436	3187
796	12463	3174
797	12478	3158
798	12489	3141
799	12498	3124
800	12506	3107
801	12535	3094
802	12550	3079
803	12563	3062
804	12571	3045
805	12580	3028
806	12605	3014
807	12622	2999
808	12635	2983
809	12645	2966
810	12653	2948
811	12680	2935
812	12697	2920
813	12709	2904
814	12719	2887
815	12727	2869
816	12757	2857
817	12770	2841
818	12781	2824
819	12790	2807
820	12798	2790
821	12828	2778
822	12843	2762
823	12853	2745
824	12862	2728
825	12876	2712
826	12902	2699
827	12915	2682
828	12925	2666
829	12933	2649
830	12958	2635
831	12978	2620
832	12991	2604
833	13000	2587
834	13008	2570
835	13035	2557
836	13050	2541
837	13061	2525
838	13072	2508
839	13080	2491
840	13111	2478
841	13125	2463
842	13136	2446
843	13144	2429
844	13162	2414
845	13186	2400
846	13198	2384
847	13207	2367
848	13217	2350
849	13235	2335
850	13255	2320
851	13268	2304
852	13278	2288
853	13287	2271
854	13307	2256
855	13326	2241
856	13338	2225
857	13348	2209
858	13357	2192
859	13378	2177
860	13399	2163
861	13411	2147
862	13421	2130
863	13430	2114
864	13455	2100
865	13472	2084
866	13484	2068
867	13494	2052
868	13503	2035
869	13532	2022
870	13548	2006
871	13559	1990
872	13568	1973
873	13580	1957
874	13608	1944
875	13622	1928
876	13632	1911
877	13641	1895
878	13662	1880
879	13681	1865
880	13693	1849
881	13703	1833
882	13712	1817
883	13740	1803
884	13759	1787
885	13772	1772
886	13780	1755
887	13792	1739
888	13818	1725
889	13832	1709
890	13842	1693
891	13851	1677
892	13863	1661
893	13888	1646
894	13902	1630
895	13911	1614
896	13921	1598
897	13938	1583
898	13960	1568
899	13973	1552
900	13983	1536
901	13991	1520
902	14000	1503
903	14028	1489
